Brand SKU ID,Brand SKU ID Type,Restaurant ID,Category,Subcategory,Item,Item Description,Item Image URL,Item Food Type,Item Availability,Item Addon Group,Variant Group L1,Vaiants L1,Variant L1 Food Type,Variant L1 Availability,Variant Addon Group L1,Variant Group L2,Vaiants L2,Variant L2 Food Type,Variant L2 Availability,Variant Addon Group L2,Addon,Addon Level,Price,Markup Price,Revert Date,Revert Time,Update Required ?
BR112488576142,Item,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",,,,,,,,,,,,,795,,,,Yes
BR112488207804,Variant,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",(UP1553393)Choose Your Pasta,(RN133312UP6187423)Penne,non veg,in stock,,,,,,,,,0,,,,Yes
BR112488581872,Variant,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",(UP1553393)Choose Your Pasta,(RN133312UP6187424)Spaghetti,non veg,in stock,,,,,,,,,0,,,,Yes
BR112488618478,Addon,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",,,,,,,,,,,(RN133312UP5855212)Extra Grilled Chicken,Item (RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,99,,,,Yes
BR112488431629,Addon,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",,,,,,,,,,,(RN133312UP6923583)Prebiotic Aam Panna Cooler(300ml),Item (RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,199,,,,Yes
BR112488841836,Addon,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",,,,,,,,,,,(RN133312UP6923584)Prebiotic Lemonade Cooler(300ml),Item (RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,199,,,,Yes
BR112488289597,Addon,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",,,,,,,,,,,(RN133312UP7045476)Prebiotic Strawberry Cooler(300ml),Item (RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,199,,,,Yes
BR112488666266,Addon,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",,,,,,,,,,,(RN133312UP7045477)Prebiotic Lemon Apple Cooler(300ml),Item (RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,199,,,,Yes
BR112488873770,Addon,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",,,,,,,,,,,(RN133312UP4263720)Choco Lava Cake,Item (RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,199,,,,Yes
BR112488689843,Addon,RN133312,(UP613298)Woodfired Pastas,(UP613306)Woodfired - Grilled Chicken Pasta,(RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,,https://pd-onl-rtn-media.storage.googleapis.com/menu-images/78394_item_RN133312UP121642473_20260405134735.jpg,non veg,in stock,"UP1457124,UP1829815,UP1864577,UP982502",,,,,,,,,,,(RN133312UP4265523)Mini Pull Apart,Item (RN133312UP121642473)Woodfired - Grilled Chicken White Sauce Pasta with Truffle Oil,199,,,,Yes
